proxy,owner,originalOwner,transfers,status,totalCOMP,totalWei,rewards-v3-base-0x9e1028f5-2197588-51059175.merkl.json
0x40D676e35Bf99Ea82FdB8Eec39645e79deff240F,0x9E63Ed47AAcE35AB34cAf2EED8Ce00a56eDa9762,0x9E63Ed47AAcE35AB34cAf2EED8Ce00a56eDa9762,0,closed,0.000189,189000000000000,189000000000000
0x96401E5C6425ebAE2F26f37d69bCCA8C0e50e63D,0x39B23Dec93995a60f21D771aeC3A5A1Fbf2E646B,0x39B23Dec93995a60f21D771aeC3A5A1Fbf2E646B,0,active,0.000182,182000000000000,182000000000000
0xA320491a7132c0aFd0F299c61EfFD78C21456279,0x44788C21Ba1e649a423047cFA3b1a21dbcCa2720,0x44788C21Ba1e649a423047cFA3b1a21dbcCa2720,0,active,0.000182,182000000000000,182000000000000
0x2D76fD50d1fc9E2a115387C1DA982E20251ba576,0xd152926BEEFd40cAef59040A2144980e481A59e3,0xd152926BEEFd40cAef59040A2144980e481A59e3,0,active,0.00018,180000000000000,180000000000000
0x9e8e042d117790e25874CE0a28e3Dcf24451628e,0x09FF804b5eca19770eF8Ee06cf979677be4eFa9D,0x09FF804b5eca19770eF8Ee06cf979677be4eFa9D,0,closed,0.000179,179000000000000,179000000000000
0xd9A176E181c4Cb1D1505f0D173fa6BEef713d2F8,0xA2A8FF2AC4f5045aF0cdAB6F8A37Bc0072b13Fa5,0xA2A8FF2AC4f5045aF0cdAB6F8A37Bc0072b13Fa5,0,active,0.000178,178000000000000,178000000000000
0xBC14718F7B2F587082975CEf13111b747c89e4C5,0xe03d13094f5710eABeAB18CD4Ce1D020012C094A,0xe03d13094f5710eABeAB18CD4Ce1D020012C094A,0,active,0.000177,177000000000000,177000000000000
0xfADdb319Dd72ecaEb698Fa323AFe06eB05f71725,0x850CEC90edCA90981a3982bB6F06C16a59AB5F31,0x850CEC90edCA90981a3982bB6F06C16a59AB5F31,0,closed,0.000176,176000000000000,176000000000000
0xf07eDDdbBa5698Dd880f17088A925C93C142F308,0xfDA6c4f5DC90B99019528fF438Ca7d527d4998d5,0xfDA6c4f5DC90B99019528fF438Ca7d527d4998d5,0,active,0.000173,173000000000000,173000000000000
0x082D2030be228b9132720625fDBD3917c1E45D00,0x47478dB6e14ce425680536C37aD906dB0B67e497,0x47478dB6e14ce425680536C37aD906dB0B67e497,0,active,0.000172,172000000000000,172000000000000
0x0f1347bAeF80cd957A68dDe53baF46101ACb400F,0x9D3C53321cFA9D08660aD32e09C7Ef2625b16E67,0x9D3C53321cFA9D08660aD32e09C7Ef2625b16E67,0,closed,0.000172,172000000000000,172000000000000
0x1DFd18A1075305DCFB6307372db37e7C224bf3B4,0xc57C1fe65b4388899ae709636e625c673c97d238,0xc57C1fe65b4388899ae709636e625c673c97d238,0,closed,0.00017,170000000000000,170000000000000
0x133DF3274565d9ebf0787EBd855c7Cd5394FDE36,0x740909a8e52Da6dc7d533C69ADC8D02499A7b0d1,0x740909a8e52Da6dc7d533C69ADC8D02499A7b0d1,0,active,0.000169,169000000000000,169000000000000
0x4636d6002bd17110dAcbe9279157cAfA21D522Ea,0xbeBbaDeb51c69048a1D2055d48fD4658AE876608,0xbeBbaDeb51c69048a1D2055d48fD4658AE876608,0,active,0.000164,164000000000000,164000000000000
0x39eBD2bB92B64804BcF8Ec1e4c6B6A7346Ec389a,0x331420eedf36e81bfC0E8AB559967b905C94Ca1B,0x331420eedf36e81bfC0E8AB559967b905C94Ca1B,0,closed,0.000157,157000000000000,157000000000000
0x0e52E3Ad2e471792C0C176b7b27DDc658DC0CDF9,0xDa95261b5c801cAc04eB227CF3e38BD32E4BA400,0xDa95261b5c801cAc04eB227CF3e38BD32E4BA400,0,closed,0.000156,156000000000000,156000000000000
0x907e37755994676B0960caD37Cb5A0869a3B5478,0x16224baA0f79B891073b783d5645a6DB31174fC9,0x16224baA0f79B891073b783d5645a6DB31174fC9,0,active,0.000154,154000000000000,154000000000000
0x05318cdebBDE298d4fc190b38F4bE14807772A77,0x1A2923D39F11f4b0A47BcdEC29B30eC273dA0932,0x1A2923D39F11f4b0A47BcdEC29B30eC273dA0932,0,closed,0.000152,152000000000000,152000000000000
0x2f7dd795df98681Df55B97b7d59337A6A81512C0,0xDA436db56e7D5d7ceEb20003Fc63Acd4d8b465ba,0xDA436db56e7D5d7ceEb20003Fc63Acd4d8b465ba,0,closed,0.000152,152000000000000,152000000000000
0x48e050316C66E58AD8BF92124A0befd7bd222Cb6,0x0C295F253Ed34902DBe67C5EF1E7d1A13896B248,0x0C295F253Ed34902DBe67C5EF1E7d1A13896B248,0,active,0.000152,152000000000000,152000000000000
0xce72aac72B32AbA9001A65a16A2C2ca9557Eb8EA,0xD112071a5837Ac1F69e40Fac7a25CaAa9BAaFbcD,0xD112071a5837Ac1F69e40Fac7a25CaAa9BAaFbcD,0,closed,0.000152,152000000000000,152000000000000
0xEc8BcD69cab8A55Df42773cE56e490D023EB22DF,0x411d209E4874E00Dd550de43190224515b28fAFe,0x411d209E4874E00Dd550de43190224515b28fAFe,0,active,0.000151,151000000000000,151000000000000
0x25bDC36880b866Fb7b0538895BD3fEe9725d8adD,0x594C9Ad8D38Fd59daeAe8520Ab1E31B2A866C4f2,0x594C9Ad8D38Fd59daeAe8520Ab1E31B2A866C4f2,0,active,0.000148,148000000000000,148000000000000
0x7135C53618a0C9930b4Cf0B025d855a06dC33aBc,0xf563bD9B12A7497BF9870457DfE26Ea9e9Be8911,0xf563bD9B12A7497BF9870457DfE26Ea9e9Be8911,0,active,0.000148,148000000000000,148000000000000
0xbbf1D2Cd1141865Cb961B82f8aD61520520f38E1,0xBa1448b04e9B456E719D75Cc45849C60DaCBbD4d,0xBa1448b04e9B456E719D75Cc45849C60DaCBbD4d,0,active,0.000148,148000000000000,148000000000000
0xC6Eebcc41ef8bB20E79772898f150af048b58763,0x5ADb84601eAe00462E9ac7E62a17C9f03e3A5E08,0x5ADb84601eAe00462E9ac7E62a17C9f03e3A5E08,0,active,0.000148,148000000000000,148000000000000
0xd2A27679EA8a317DaDb64D2943f164951237EeD0,0x70F781037a1155f3B45b2DFFaaD2eb8dBDa6098A,0x70F781037a1155f3B45b2DFFaaD2eb8dBDa6098A,0,active,0.000147,147000000000000,147000000000000
0x83B147863EC328a2f09119DEFEEF00dDB7939d11,0xD4DD93F090A4bcc98E1c3b0e76f3873Cb755fb63,0xD4DD93F090A4bcc98E1c3b0e76f3873Cb755fb63,0,closed,0.000143,143000000000000,143000000000000
0x2788e156582174FD4aFF253826F23e769F2e63f2,0x64bAC0FC115Ef0bb3e49EAcafE89a8404Dbb4c8a,0x64bAC0FC115Ef0bb3e49EAcafE89a8404Dbb4c8a,0,closed,0.00014,140000000000000,140000000000000
0xEAe55bEe3BB1EBf5Db0d6cD9B0EDCa8684af6716,0x87fac7BfBde837D83E8e17755af82c5052e95cea,0x87fac7BfBde837D83E8e17755af82c5052e95cea,0,closed,0.000139,139000000000000,139000000000000
0x025B31AF3FD7F0Ab50A214495D5c4f98F9C30E06,0x3F888f4E16a08C6B3745dDbaDe98e24569852FA4,0x3F888f4E16a08C6B3745dDbaDe98e24569852FA4,0,closed,0.000135,135000000000000,135000000000000
0x2d008684200C0397629C9FF36B0098802e1F2E0C,0x5560d659E8026d0191153C63d7180a7dce4d8e20,0x5560d659E8026d0191153C63d7180a7dce4d8e20,0,active,0.000134,134000000000000,134000000000000
0x2B84BCA43591FAE7Ff9395d4965049226fE85d40,0x06a8f87a2f07a6Bc936c1cE9107AeC84eC135a00,0x06a8f87a2f07a6Bc936c1cE9107AeC84eC135a00,0,closed,0.000129,129000000000000,129000000000000
0x992B42f5B5B4D21599Cfa4b67E032838b22e4ecb,0xa55D2528839A59B2D7Cc912E1De8395Ba8B586ba,0xa55D2528839A59B2D7Cc912E1De8395Ba8B586ba,0,closed,0.000129,129000000000000,129000000000000
0x304c86aC3CF589ea6A06563c44693b3B3D9727A6,0x8DD5e6816ecBb59535f8c28F611Cb3F8fB20216c,0x9aa206d1394a072Ae1FbdBC62C64e7c55cA3ace4,1,active,0.000128,128000000000000,128000000000000
0x508e18E7f6E0B81Db898b8FA5c522306E07c8965,0xEF125E49fB1a1BC5F8025b364Ca5486368ff87a9,0xEF125E49fB1a1BC5F8025b364Ca5486368ff87a9,0,closed,0.00012,120000000000000,120000000000000
0xC46cCD44d3f03785F68ff1460156d77016264b79,0x44E434b0Eb83534b697F9c77eF11fB981B637def,0x44E434b0Eb83534b697F9c77eF11fB981B637def,0,closed,0.000119,119000000000000,119000000000000
0x12fdD4F83bAc1266f34830295e2e67E1D2510062,0x28DA3DdE285D8F1f87B2D858f89961Bb8B9Af180,0x28DA3DdE285D8F1f87B2D858f89961Bb8B9Af180,0,active,0.000116,116000000000000,116000000000000
0x13F5E338915863FB171C0FB1Ad71956A54b97F45,0xCBdF240Fd07feA726fD2B1693DB3F97566F6252e,0xCBdF240Fd07feA726fD2B1693DB3F97566F6252e,0,closed,0.000112,112000000000000,112000000000000
0xD09C6C4D086b54Fc6e6861cf758A2984AF40A52f,0xe6fcb55f9BE77A5A2D9a35ce28140FcF8365b756,0xe6fcb55f9BE77A5A2D9a35ce28140FcF8365b756,0,closed,0.000109,109000000000000,109000000000000
0xEabe61A31eEc39E80CF14154214661d12744d2F5,0x77F635B1DAEd63a356E8A2C67DbAbBda37904E49,0x77F635B1DAEd63a356E8A2C67DbAbBda37904E49,0,active,0.000108,108000000000000,108000000000000
0x930365bA23491891BaD1FE2d0fDe4B9AB1e2Ac8A,0x95F1323E2fce00731661F4DCe05Cb3D3abc9afC1,0x95F1323E2fce00731661F4DCe05Cb3D3abc9afC1,0,closed,0.000107,107000000000000,107000000000000
0x3C2b9DC5ECc258d3978EAEf86A9751c7406efe9E,0x456E7B053D530a3559c80809525b31328cbAc9b0,0x456E7B053D530a3559c80809525b31328cbAc9b0,0,active,0.000106,106000000000000,106000000000000
0xfD1ccc2358F0b41b0C2D993001Cd070e2669A3b7,0xf29c1bA40E18f12Bd853E74a117505080608275a,0xf29c1bA40E18f12Bd853E74a117505080608275a,0,closed,0.000106,106000000000000,106000000000000
0x985db289fcCb5821ed9C5ed232DbbB2AC8aD5852,0x9e41A500517C23EAB95aB7a23c1466BE5faB40d4,0x9e41A500517C23EAB95aB7a23c1466BE5faB40d4,0,active,0.000104,104000000000000,104000000000000
0x80083BecF154AaAfd752675a27da418B28721141,0x91d6Bf11608ed2Dd40f44a95f3ef222840746577,0x91d6Bf11608ed2Dd40f44a95f3ef222840746577,0,closed,0.000102,102000000000000,102000000000000
0x60Bc2C102F132A1c0ca943D123151A530eE14Af7,0x1ED1EF8d920D678f571A9BA7C0d2FFc97B4F53d5,0x1ED1EF8d920D678f571A9BA7C0d2FFc97B4F53d5,0,closed,0.000094,94000000000000,94000000000000
0x8a3F517Ba1334FaF5AD6b6158AF115C05f7fa40E,0x07F62F48709B2c427E54e102531D07d9E21Ad99E,0x07F62F48709B2c427E54e102531D07d9E21Ad99E,0,active,0.000093,93000000000000,93000000000000
0xf3761E87184FB3EF17863c1A9c06FF55738A8794,0x558c93755d3229D7D6bA125466beAF9b28F2bec3,0x558c93755d3229D7D6bA125466beAF9b28F2bec3,0,closed,0.000093,93000000000000,93000000000000
0x06E1EEdfd23A874e2d3504Ee28f47761a45632cf,0x96a4c9f2dC086C4b45f8F3f519267372d373aD9E,0x96a4c9f2dC086C4b45f8F3f519267372d373aD9E,0,active,0.00009,90000000000000,90000000000000
0x996fECf49D42512f56767241776bdeD4847Ccd22,0xa2e5B6B59223BC966A14E61781cce07d2b22fe03,0xa2e5B6B59223BC966A14E61781cce07d2b22fe03,0,closed,0.00009,90000000000000,90000000000000
0x0080A7C287f2B2b850d42a51496a46aC2F875742,0xf4B742228F151B891A995064A8226e4c8CA31497,0xf4B742228F151B891A995064A8226e4c8CA31497,0,active,0.000089,89000000000000,89000000000000
0x3472a2081e7119392314bD5DdABAB015FF414078,0xB0F0bba5f8Daaa46185e2B476e4f42be853E710a,0xB0F0bba5f8Daaa46185e2B476e4f42be853E710a,0,closed,0.000088,88000000000000,88000000000000
0x43D872306Eb9359cD6182fb8B95959Fec531Ce1a,0x428A4603a312EDa44aBc13100f6A3D0068E5E61E,0x428A4603a312EDa44aBc13100f6A3D0068E5E61E,0,closed,0.000088,88000000000000,88000000000000
0x902505739BB05a7800E0C44Af90f595B10978518,0x11B504aF6C1A56D4CBa0EE6E4c4EDc769190698a,0x11B504aF6C1A56D4CBa0EE6E4c4EDc769190698a,0,closed,0.000087,87000000000000,87000000000000
0x425c68695E22F98b62Fa111ECA1691a0aBCCDfB9,0x6aca843DD19AE4bfA43b6C53fC2e0c3a0bF6a002,0x6aca843DD19AE4bfA43b6C53fC2e0c3a0bF6a002,0,closed,0.000082,82000000000000,82000000000000
0x676752f00d3f2B8aEcd9c9f7027aa93A177E9307,0xfA23366EC9f2aD0d51CaB8d0082266Bb3000cc16,0xfA23366EC9f2aD0d51CaB8d0082266Bb3000cc16,0,active,0.000081,81000000000000,81000000000000
